,text,clean_text,Tweet_tokenized,Tweet_without_stop,Tweet_stemmed,Tweet_lemmatized
0,"RT @DrRanisharma21: Where is grap, improvement? We r living in gas chamber @ArvindKejriwal @AapKaGopalRai @sunitanar @CPCB_OFFICIAL @narend…",RT DrRanisharma Where is grap improvement We r living in gas chamber ArvindKejriwal AapKaGopalRai sunitanar CPCBOFFICIAL narend…,"['rt', 'drranisharma', 'where', 'is', 'grap', 'improvement', 'we', 'r', 'living', 'in', 'gas', 'chamber', 'arvindkejriwal', 'aapkagopalrai', 'sunitanar', 'cpcbofficial', 'narend', '']","['rt', 'drranisharma', 'grap', 'improvement', 'r', 'living', 'gas', 'chamber', 'arvindkejriwal', 'aapkagopalrai', 'sunitanar', 'cpcbofficial', 'narend', '']","['rt', 'drranisharma', 'grap', 'improv', 'r', 'live', 'ga', 'chamber', 'arvindkejriw', 'aapkagopalrai', 'sunitanar', 'cpcboffici', 'narend', '']","['rt', 'drranisharma', 'grap', 'improvement', 'r', 'living', 'gas', 'chamber', 'arvindkejriwal', 'aapkagopalrai', 'sunitanar', 'cpcbofficial', 'narend', '']"
1,"That's great, the level is below 5 ugr/m3. Temperature is 13.30 C. Wind direction is SSW. Dust level #PM10 is: 4.88ugr/m3. Dust level #PM2.5 is: 1.50ugr/m3. #Fijnstof #Airpollution #Waalre #CitizenScience #luftdaten",Thats great the level is below  ugrm Temperature is  C Wind direction is SSW Dust level PM is ugrm Dust level PM is ugrm Fijnstof Airpollution Waalre CitizenScience luftdaten,"['thats', 'great', 'the', 'level', 'is', 'below', 'ugrm', 'temperature', 'is', 'c', 'wind', 'direction', 'is', 'ssw', 'dust', 'level', 'pm', 'is', 'ugrm', 'dust', 'level', 'pm', 'is', 'ugrm', 'fijnstof', 'airpollution', 'waalre', 'citizenscience', 'luftdaten']","['thats', 'great', 'level', 'ugrm', 'temperature', 'c', 'wind', 'direction', 'ssw', 'dust', 'level', 'pm', 'ugrm', 'dust', 'level', 'pm', 'ugrm', 'fijnstof', 'airpollution', 'waalre', 'citizenscience', 'luftdaten']","['that', 'great', 'level', 'ugrm', 'temperatur', 'c', 'wind', 'direct', 'ssw', 'dust', 'level', 'pm', 'ugrm', 'dust', 'level', 'pm', 'ugrm', 'fijnstof', 'airpollut', 'waalr', 'citizensci', 'luftdaten']","['thats', 'great', 'level', 'ugrm', 'temperature', 'c', 'wind', 'direction', 'ssw', 'dust', 'level', 'pm', 'ugrm', 'dust', 'level', 'pm', 'ugrm', 'fijnstof', 'airpollution', 'waalre', 'citizenscience', 'luftdaten']"
2,RT @GwneudYTro: @CleanAirForCDF @VelindreTrust @MarcPalmer75 @CardiffSave @JackieJonesWal1 @katecarrcdf @JGreen_CDF @JulieMorganLAB Over pa…,RT GwneudYTro CleanAirForCDF VelindreTrust MarcPalmer CardiffSave JackieJonesWal katecarrcdf JGreenCDF JulieMorganLAB Over pa…,"['rt', 'gwneudytro', 'cleanairforcdf', 'velindretrust', 'marcpalmer', 'cardiffsave', 'jackiejoneswal', 'katecarrcdf', 'jgreencdf', 'juliemorganlab', 'over', 'pa', '']","['rt', 'gwneudytro', 'cleanairforcdf', 'velindretrust', 'marcpalmer', 'cardiffsave', 'jackiejoneswal', 'katecarrcdf', 'jgreencdf', 'juliemorganlab', 'pa', '']","['rt', 'gwneudytro', 'cleanairforcdf', 'velindretrust', 'marcpalm', 'cardiffsav', 'jackiejonesw', 'katecarrcdf', 'jgreencdf', 'juliemorganlab', 'pa', '']","['rt', 'gwneudytro', 'cleanairforcdf', 'velindretrust', 'marcpalmer', 'cardiffsave', 'jackiejoneswal', 'katecarrcdf', 'jgreencdf', 'juliemorganlab', 'pa', '']"
3,RT @CleanAirCAC: In order to create lasting solutions to #airpollution &amp; #climatechange we need to include all stakeholders in the conversa…,RT CleanAirCAC In order to create lasting solutions to airpollution amp climatechange we need to include all stakeholders in the conversa…,"['rt', 'cleanaircac', 'in', 'order', 'to', 'create', 'lasting', 'solutions', 'to', 'airpollution', 'amp', 'climatechange', 'we', 'need', 'to', 'include', 'all', 'stakeholders', 'in', 'the', 'conversa', '']","['rt', 'cleanaircac', 'order', 'create', 'lasting', 'solutions', 'airpollution', 'amp', 'climatechange', 'need', 'include', 'stakeholders', 'conversa', '']","['rt', 'cleanaircac', 'order', 'creat', 'last', 'solut', 'airpollut', 'amp', 'climatechang', 'need', 'includ', 'stakehold', 'conversa', '']","['rt', 'cleanaircac', 'order', 'create', 'lasting', 'solution', 'airpollution', 'amp', 'climatechange', 'need', 'include', 'stakeholder', 'conversa', '']"
4,"RT @icareforlungs: ""When we stop #airpollution, we will save millions of lives, trillions of dollars and future generations from the ravage…",RT icareforlungs When we stop airpollution we will save millions of lives trillions of dollars and future generations from the ravage…,"['rt', 'icareforlungs', 'when', 'we', 'stop', 'airpollution', 'we', 'will', 'save', 'millions', 'of', 'lives', 'trillions', 'of', 'dollars', 'and', 'future', 'generations', 'from', 'the', 'ravage', '']","['rt', 'icareforlungs', 'stop', 'airpollution', 'save', 'millions', 'lives', 'trillions', 'dollars', 'future', 'generations', 'ravage', '']","['rt', 'icareforlung', 'stop', 'airpollut', 'save', 'million', 'live', 'trillion', 'dollar', 'futur', 'gener', 'ravag', '']","['rt', 'icareforlungs', 'stop', 'airpollution', 'save', 'million', 'life', 'trillion', 'dollar', 'future', 'generation', 'ravage', '']"
5,"RT @CNNnews18: As Delhi chokes under a thick blanket of smog, RTI reveals AAP's inaction. Take a look at this report 

@maryashakil | #Delh…","RT CNNnews As Delhi chokes under a thick blanket of smog RTI reveals AAPs inaction Take a look at this report 

maryashakil  Delh…","['rt', 'cnnnews', 'as', 'delhi', 'chokes', 'under', 'a', 'thick', 'blanket', 'of', 'smog', 'rti', 'reveals', 'aaps', 'inaction', 'take', 'a', 'look', 'at', 'this', 'report', 'maryashakil', 'delh', '']","['rt', 'cnnnews', 'delhi', 'chokes', 'thick', 'blanket', 'smog', 'rti', 'reveals', 'aaps', 'inaction', 'take', 'look', 'report', 'maryashakil', 'delh', '']","['rt', 'cnnnew', 'delhi', 'choke', 'thick', 'blanket', 'smog', 'rti', 'reveal', 'aap', 'inact', 'take', 'look', 'report', 'maryashakil', 'delh', '']","['rt', 'cnnnews', 'delhi', 'choke', 'thick', 'blanket', 'smog', 'rti', 'reveals', 'aaps', 'inaction', 'take', 'look', 'report', 'maryashakil', 'delh', '']"
6,"RT @OEHHA: Interested in hazard ID &amp; exposure evaluation, including for #AirPollution? Want to communicate chemical hazards to the public?…",RT OEHHA Interested in hazard ID amp exposure evaluation including for AirPollution Want to communicate chemical hazards to the public…,"['rt', 'oehha', 'interested', 'in', 'hazard', 'id', 'amp', 'exposure', 'evaluation', 'including', 'for', 'airpollution', 'want', 'to', 'communicate', 'chemical', 'hazards', 'to', 'the', 'public', '']","['rt', 'oehha', 'interested', 'hazard', 'id', 'amp', 'exposure', 'evaluation', 'including', 'airpollution', 'want', 'communicate', 'chemical', 'hazards', 'public', '']","['rt', 'oehha', 'interest', 'hazard', 'id', 'amp', 'exposur', 'evalu', 'includ', 'airpollut', 'want', 'commun', 'chemic', 'hazard', 'public', '']","['rt', 'oehha', 'interested', 'hazard', 'id', 'amp', 'exposure', 'evaluation', 'including', 'airpollution', 'want', 'communicate', 'chemical', 'hazard', 'public', '']"
7,"RT @AirQoProject: At #COP27 we’ll be focusing on how we’re championing inclusive and evidence-driven action in 3 African cities -Cape Town,…",RT AirQoProject At COP we’ll be focusing on how we’re championing inclusive and evidencedriven action in  African cities Cape Town…,"['rt', 'airqoproject', 'at', 'cop', 'we', 'll', 'be', 'focusing', 'on', 'how', 'we', 're', 'championing', 'inclusive', 'and', 'evidencedriven', 'action', 'in', 'african', 'cities', 'cape', 'town', '']","['rt', 'airqoproject', 'cop', 'focusing', 'championing', 'inclusive', 'evidencedriven', 'action', 'african', 'cities', 'cape', 'town', '']","['rt', 'airqoproject', 'cop', 'focus', 'champion', 'inclus', 'evidencedriven', 'action', 'african', 'citi', 'cape', 'town', '']","['rt', 'airqoproject', 'cop', 'focusing', 'championing', 'inclusive', 'evidencedriven', 'action', 'african', 'city', 'cape', 'town', '']"
8,"The reusable mask which can save thousands of disposable masks from the ocean.
#totobobo #reusablemask #climatechange #ecofriendly #AirPollution https://t.co/eT6JQcoZCk","The reusable mask which can save thousands of disposable masks from the ocean
totobobo reusablemask climatechange ecofriendly AirPollution httpstcoeTJQcoZCk","['the', 'reusable', 'mask', 'which', 'can', 'save', 'thousands', 'of', 'disposable', 'masks', 'from', 'the', 'ocean', 'totobobo', 'reusablemask', 'climatechange', 'ecofriendly', 'airpollution', 'httpstcoetjqcozck']","['reusable', 'mask', 'save', 'thousands', 'disposable', 'masks', 'ocean', 'totobobo', 'reusablemask', 'climatechange', 'ecofriendly', 'airpollution', 'httpstcoetjqcozck']","['reusabl', 'mask', 'save', 'thousand', 'dispos', 'mask', 'ocean', 'totobobo', 'reusablemask', 'climatechang', 'ecofriendli', 'airpollut', 'httpstcoetjqcozck']","['reusable', 'mask', 'save', 'thousand', 'disposable', 'mask', 'ocean', 'totobobo', 'reusablemask', 'climatechange', 'ecofriendly', 'airpollution', 'httpstcoetjqcozck']"
9,"RT @HighburyLtn: Some great early research which shows Air Quality improving on main roads AS WELL AS side roads here in @IslingtonBC 
Than…","RT HighburyLtn Some great early research which shows Air Quality improving on main roads AS WELL AS side roads here in IslingtonBC 
Than…","['rt', 'highburyltn', 'some', 'great', 'early', 'research', 'which', 'shows', 'air', 'quality', 'improving', 'on', 'main', 'roads', 'as', 'well', 'as', 'side', 'roads', 'here', 'in', 'islingtonbc', 'than', '']","['rt', 'highburyltn', 'great', 'early', 'research', 'shows', 'air', 'quality', 'improving', 'main', 'roads', 'well', 'side', 'roads', 'islingtonbc', '']","['rt', 'highburyltn', 'great', 'earli', 'research', 'show', 'air', 'qualiti', 'improv', 'main', 'road', 'well', 'side', 'road', 'islingtonbc', '']","['rt', 'highburyltn', 'great', 'early', 'research', 'show', 'air', 'quality', 'improving', 'main', 'road', 'well', 'side', 'road', 'islingtonbc', '']"
